convocatoria_numero,nombre_documento,tipo_documento,numero_anexo,subtipo_anexo,tipo_actividad,formato,url,ruta_local,estado,bytes,error
48.0,Anexo 9. Procedimiento solicitud creación de Rol Formulador CTeI.,anexo,9.0,procedimental,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_9._procedimiento_solicitud_creacion_de_rol_formulador_ctei-_48.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\anexo_9._procedimiento_solicitud_creacion_de_rol_formulador_ctei-_48.docx,omitido_existe,97588,
48.0,"Anexo 10. Documentos para verificar formalidad de las organizaciones comunitarias, étnicas y campesinas.",anexo,10.0,otro,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_10._documentos_para_verificar_formalidad_de_las_organizaciones_comunitarias_etnicas_y_campesinas_-_48.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\anexo_10._documentos_para_verificar_formalidad_de_las_organizaciones_comunitarias_etnicas_y_campesinas_-_48.pdf,omitido_existe,97240,
48.0,Anexo 11. Lineamientos enfoque Apropiación Social del Conocimiento.,anexo,11.0,apropiacion_social,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_11._lineamientos_enfoque_de_apropiacion_social_del_conocimiento_-_48.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\anexo_11._lineamientos_enfoque_de_apropiacion_social_del_conocimiento_-_48.pdf,omitido_existe,266196,
48.0,Anexo 12. Enfoque diferencial e interseccional.,anexo,12.0,poblacion_especifica,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_12._enfoque_diferencial_e_interseccional_-_48.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\anexo_12._enfoque_diferencial_e_interseccional_-_48.pdf,omitido_existe,233150,
48.0,Anexo 13. Niveles de madurez tecnológica.,anexo,13.0,tecnico,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_13._niveles_de_madurez_tecnologica_-_48.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\anexo_13._niveles_de_madurez_tecnologica_-_48.docx,omitido_existe,389160,
48.0,Anexo 14. Municipios PDET y/o ZOMAC.,anexo,14.0,otro,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_14._municipios_pdet_-_zomac_-_48.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\anexo_14._municipios_pdet_-_zomac_-_48.pdf,omitido_existe,1277821,
48.0,Anexo 16. Certificado tamaño empresa mediana.,anexo,16.0,otro,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_16_certificado_tamano_empresa_mediana_-_48.docx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\anexo_16_certificado_tamano_empresa_mediana_-_48.docx,omitido_existe,495149,
48.0,Anexo 17. Instructivo para generar MGA-WEB en borrador.,anexo,17.0,procedimental,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_17._instructivo_para_generar_mga-web_en_borrador.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\anexo_17._instructivo_para_generar_mga-web_en_borrador.pdf,omitido_existe,367975,
48.0,"TdR Convocatoria 48 del SGR – Aprovechamiento Sostenible de la Biodiversidad, la productividad y el Fortalecimiento Territorial",otro,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_convocatoria_48.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\terminos_de_referencia_convocatoria_48.pdf,ok,862413,
48.0,Anexo 15. Listado de Corporaciones Autónomas Regionales.,resultado,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_15._listado_de_corporaciones_autonomas_regionales_-_48.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\anexo_15._listado_de_corporaciones_autonomas_regionales_-_48.pdf,ok,222987,
48.0,Respuesta a observaciones convocatoria No. 48,comunicado,,,Apertura,editable,https://minciencias.gov.co/sites/default/files/upload/convocatoria/f_respuesta_a_observaciones_convocatoria_no._48_1.xlsx,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_48\f_respuesta_a_observaciones_convocatoria_no._48_1.xlsx,ok,197613,
977.0,Anexo 3. Modelo de Clasificación y Reconocimiento de Revistas Científicas Nacionales - Publindex 2026,anexo,3.0,otro,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/modelo_de_clasificacion_y_reconocimiento_de_revistas_cientificas_nacionales_-_publindex_2026_0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_977\modelo_de_clasificacion_y_reconocimiento_de_revistas_cientificas_nacionales_-_publindex_2026_0.pdf,omitido_existe,1456223,
977.0,Anexo 4. Documento de actualización de los Sistemas de Indexación y Resumen (SIR),anexo,4.0,otro,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/documento_de_actualizacion_de_los_sistemas_de_indexacion_y_resumen_-sir_1.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_977\documento_de_actualizacion_de_los_sistemas_de_indexacion_y_resumen_-sir_1.pdf,omitido_existe,952562,
977.0,Anexo 1. Resolución de apertura Publindex 2026,resolucion,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/resolucion_0336-2026_0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_977\resolucion_0336-2026_0.pdf,ok,1777851,
977.0,Anexo 2. Términos de referencia de la convocatoria,terminos_referencia,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_de_la_convocatoria_publindex_2026_firmados_0.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_977\terminos_de_referencia_de_la_convocatoria_publindex_2026_firmados_0.pdf,ok,651840,
977.0,Preguntas frecuentes convocatoria 977 de 2026,otro,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/preguntas_frecuentes_convocatoria_977_de_2026_publindex.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_977\preguntas_frecuentes_convocatoria_977_de_2026_publindex.pdf,ok,3133386,
977.0,Preguntas frecuentes convocatoria 977 de 2026 tomo II,otro,,,Apertura,pdf,https://minciencias.gov.co/sites/default/files/upload/convocatoria/preguntas_frecuentes_convocatoria_977_de_2026_segundo_tomo.pdf,C:\Users\jquin\Documents\ServiSquadReto\desarrollo\data\raw\minciencias\archivos\convocatoria_977\preguntas_frecuentes_convocatoria_977_de_2026_segundo_tomo.pdf,ok,209963,
