convocatoria_numero,tipo_actividad,nombre_documento,tipo_documento,numero_anexo,subtipo_anexo,url_pdf,url_editable
50,Apertura,Anexo 2. Documento técnico.,anexo,2,tecnico,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2._documento_tecnico_final.docx
50,Apertura,Anexo 3. Presupuesto,anexo,3,finanzas,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3._presupuesto_final.xlsx
50,Apertura,Anexo 4. Demandas Territoriales.,anexo,4,poblacion_especifica,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4._demandas_territoriales_2025_2026_final.xlsx
50,Apertura,Anexo 5. Instructivo para generar MGA-WEB en borrador,anexo,5,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5._instructivo_para_generar_mga-web_final.pdf,
50,Apertura,Anexo 6. Niveles de madurez tecnológica.,anexo,6,tecnico,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6._niveles_de_madurez_tecnologica_final.pdf,
50,Apertura,Anexo 7. Marco normativo de la Asignación CTeI del Sistema General de Regalías.,anexo,7,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7._marco_normativo_del_sgr_final.pdf,
50,Apertura,Anexo 8. Productos resultados de actividades de Generación de Nuevo Conocimiento y productos resultados de actividades de Apropi,anexo,8,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_8._productos_resultados_final.pdf,
50,Apertura,Anexo 9. Procedimiento para llevar a cabo la actividad “Solicitud creación de Rol Formulador CTeI”.,anexo,9,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_9._procedimiento_rol_formulador_final.pdf,
50,Apertura,Anexo 10. Categorización IDIC.,anexo,10,tecnico,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_10._categorizacion_idic_final.pdf,
50,Apertura,Anexo 11. Áreas OCDE.,anexo,11,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_11._areas_ocde_final.pdf,
50,Apertura,Anexo 12. Enfoque diferencial e interseccional.,anexo,12,poblacion_especifica,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_12._enfoque_diferencial_e_interseccional_final.pdf,
50,Apertura,Respuesta a observaciones Convocatoria No. 50,comunicado,,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/pqrsd_convocatoria_50_-_matriz_de_control_-_observaciones_-_respuestas_tdr.xlsx
50,Apertura,Comunicado de prensa Convocatoria No .50,comunicado,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/comunicado_de_prensa_convocatoria_no_50.pdf,
50,Modificaciones,MODIFICACION 1 CONVOCATORIA No. 50,modificacion,,,https://minciencias.gov.co/sites/default/files/modificacion_1_convocatoria_50_publicar.pdf,
50,Publicación de resultados preliminares,LISTADO PRELIMINAR PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_preliminar_proyectos_habilitados_0.pdf,
50,Publicación de resultados preliminares,LISTADO FINAL DE PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_final_de_proyectos_habilitados.pdf,
50,Publicación de resultados preliminares,LISTADO PRELIMINAR DE PROYECTOS ELEGIBLES CONVOCATORIA 50 de 2025,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_preliminar_de_proyectos_elegibles_convocatoria_50_de_2025.pdf,
50,Publicación de resultados definitivos,LISTADO DEFINITIVO DE PROYECTOS ELEGIBLES,resultado,,,https://minciencias.gov.co/sites/default/files/listado_definitivo_de_proyectos_elegibles_-.pdf,
50,Publicación de resultados definitivos,ALCANCE LISTADO DEFINITIVO PROYECTOS ELEGIBLES,resultado,,,https://minciencias.gov.co/sites/default/files/alcance_listado_definitivo_proyectos_elegibles.pdf,
46,Apertura,TdR Convocatoria 46 del SGR - COLOMBIA INTELIGENTE,otro,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/02-10-2025_tdr_conv_ia_rev_1.pdf,
46,Apertura,"Anexo 1. Carta unificada de aval, compromiso institucional y modelo de gobernanza.",anexo,1,aval_institucional,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_1._carta_unificada_de_aval_compromiso_institucional_y_modelo_de_gobernanza_final_2.docx
46,Apertura,Anexo 2. Documento técnico.,anexo,2,tecnico,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_2._documento_tecnico_final_1.docx
46,Apertura,Anexo 3. Presupuesto.,anexo,3,finanzas,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_3._presupuesto_final_2.xlsx
46,Apertura,Anexo 4. Demandas Territoriales.,anexo,4,poblacion_especifica,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_4._demandas_territoriales_2025_2026_final_1.xlsx
46,Apertura,"Anexo 5. Formato de ""Proyectos de CTeI gestionados y ejecutados por el proponente e integrantes de la alianza""",anexo,5,otro,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_5._formato_de_proyectos_de_ctei_gestionados_o_ejecutados_del_proponente_e_integrantes_de_la_alianza_final_1.docx
46,Apertura,Anexo 6. Definiciones,anexo,6,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_6._definiciones_final.pdf,
46,Apertura,Anexo 7. Marco normativo de la Asignación CTeI del SGR.,anexo,7,otro,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_7._marco_normativo_del_sgr_final_1.pdf,
46,Apertura,Anexo 8. Lineamientos para integrar el enfoque de apropiación social del conocimiento,anexo,8,apropiacion_social,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_8._lineamientos_para_integrar_el_enfoque_de_apropiacion_social_del_conocimiento_final_1.pdf,
46,Apertura,Anexo 9. Procedimiento para llevar a cabo la actividad “Solicitud creación de Rol Formulador CTeI”.,anexo,9,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_9._procedimiento_rol_formulador_final_1.pdf,
46,Apertura,Anexo 10.  Instructivo para generar MGA-WEB en borrador.,anexo,10,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_10._documento_borrador_mga-web_rev_1.pdf,
46,Apertura,"Anexo 11. Formato de ""Interrelaciones de la Entidad Proponente""",anexo,11,otro,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/anexo_11._formato_de_interrelaciones_de_la_entidad_proponente_final.docx
46,Apertura,Respuesta a observaciones Convocatoria No. 46,comunicado,,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/pqrsd_convocatoria_46_-_matriz_de_control_-_obserbaciones_-_respuestas_tdr.xlsx
46,Modificaciones,MODIFICACION 1 CONVOCATORIANo. 46,modificacion,,,https://minciencias.gov.co/sites/default/files/modificacion_1_convocatoria_46_publicar.pdf,
46,Publicación de resultados preliminares,LISTADO DE PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_de_proyectos_habilitados.pdf,
46,Publicación de resultados preliminares,LISTADO FINAL DE PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_final_de_proyectos_habilitados_1.pdf,
46,Publicación de resultados preliminares,RESPUESTA A OBSERVACIONES,comunicado,,,https://minciencias.gov.co/sites/default/files/convocatoria/respuesta_a_observaciones.pdf,
46,Publicación de resultados definitivos,LISTADO DEFINITIVO DE PROYECTOS ELEGIBLES,resultado,,,https://minciencias.gov.co/sites/default/files/listado_definitivo_elegibles_-_conv_46.pdf,
