convocatoria_numero,tipo_actividad,nombre_documento,tipo_documento,numero_anexo,subtipo_anexo,url_pdf,url_editable
49,Apertura,Respuesta Observaciones Convocatoria 49,comunicado,,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/respuesta_observaciones_convocatoria_49.xlsx
49,Apertura,Respuesta radicado N.1-2026-017759,comunicado,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/respuesta_radicado_n.1-2026-017759.pdf,
49,Apertura,Comunicado Informativo Conv 49,comunicado,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/comunicado_informativo_conv_49.pdf,
49,Apertura,Listado Comunidades Energeticas RCE,resultado,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/listado_comunidades_energeticas_rce.pdf,
49,Apertura,Modelo de convenio asociativo para comunidades en general,otro,,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/modelo_de_convenio_asociativo_para_comunidades_en_general.docx
49,Publicación de resultados preliminares,LISTADO PRELIMINAR PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_preliminar_proyectos_habilitados_3.pdf,
49,Publicación de resultados preliminares,LISTADO FINAL PROYECTOS HABILITADOS,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/listado_final_de_proyectos_habilitados_49.pdf,
49,Publicación de resultados preliminares,LISTADO PRELIMINAR DE PROYECTOS ELEGIBLES,resultado,,,https://minciencias.gov.co/sites/default/files/convocatoria/conv._49_-_2._m801pr02pl03_consolidado_resultados_proceso_de_evaluacion_v02_09_10_2025_firmado_1.pdf,
47,Apertura,Términos de referencia Convocatoria No. 47,terminos_referencia,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/terminos_de_referencia_convocatoria_47_sgr_def.pdf,
47,Apertura,"Anexo 1b. Carta unificada de aval, compromiso institucional y modelo de gobernanza.",anexo,1,aval_institucional,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/1._anexo_1b._carta_unificada_de_aval_compromiso_institucional_y_modelo_de_gober.doc
47,Apertura,Anexo 2. Documento técnico,anexo,2,tecnico,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/2._anexo_2._documento_tecnico._1.docx
47,Apertura,Anexo 3. Presupuesto.,anexo,3,finanzas,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/3._anexo_3._presupuesto._1.xlsx
47,Apertura,Anexo 4. Demandas Territoriales.,anexo,4,poblacion_especifica,https://minciencias.gov.co/sites/default/files/upload/convocatoria/4._anexo_4._demandas_territoriales._1.pdf,
47,Apertura,Anexo 5. Formato de “Proyectos de CTeI gestionados o ejecutados del proponente e integrantes de la alianza”.,anexo,5,otro,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/5._anexo_5._formato_de_proyectos_de_ctei_gestionados_o_ejecutados_proponente_e_integrantes_de_la_alianza._1.docx
47,Apertura,Anexo 6. Definiciones.,anexo,6,otro,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/6._anexo_6._definiciones_de_las_convocatorias_de_ctei_del_sgr_1.docx
47,Apertura,Anexo 7. Marco normativo de la Asignación para CTeI del SGR.,anexo,7,otro,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/7._anexo_7._marco_normativo_de_la_asignacion_para_ctei_del_sgr._1.doc
47,Apertura,Anexo 8. Lineamientos para integrar el enfoque de apropiación social del conocimiento,anexo,8,apropiacion_social,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/8._anexo_8._lineamientos_para_integrar_enfoque_de_apropiacion_social_del_conocimiento._1.docx
47,Apertura,Anexo 9. Procedimiento para llevar a cabo la actividad “Solicitud creación de Rol Formulador CTeI”,anexo,9,procedimental,https://minciencias.gov.co/sites/default/files/upload/convocatoria/9._anexo_9._procedimiento_para_llevar_a_cabo_la_actividad_solicitud_creacion_de_rol_formulador_ctei.pdf,
47,Apertura,Anexo 10. Instructivo para generar MGA-WEB en borrador,anexo,10,procedimental,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/10._anexo_10._lineamientos_para_integrar_el_enfoque_de_apropiacion_social_del_conocimiento._1.doc
47,Apertura,Respuesta a observaciones Convocatoria No. 47,comunicado,,,,https://minciencias.gov.co/sites/default/files/upload/convocatoria/respuesta_a_observaciones_convocatoria_no._47.xlsx
