convocatoria,archivo,n_paginas,n_secciones_toc,n_secciones_cuerpo,cobertura_plantilla_sgr,coincide_plantilla_exacto,fingerprint,titulos
960,convocatoria_960_tdr.pdf,27,23,21,0.429,False,1.PRESENTACION > 2.OBJETO > 3.DIRIGIDA A > 4.PROGRAMAS DE MAESTRIA Y MISIONES > 5.ENFOQUE TERRITORIAL > 6.ENFOQUE DIFERENCIAL E INTERSECCIONAL > 7.REQUISITOS > 8.CONDICIONES INHABILITANTES > 9.DURACION Y FINANCIACION > 10.CONTENIDO DEL PROYECTO DE INVESTIGACION > 11.PROCEDIMIENTO DE INSCRIPCION > 12.AUTORIZACION DE DATOS PERSONALES > 13.CRITERIOS DE EVALUACION > 14.PROCEDIMIENTO DE EVALUACION > 16.ACLARACIONES > 17.CRONOGRAMA > 18.MODIFICACIONES > 20.VEEDURIAS CIUDADANAS > 21.ANEXOS > 22.ACEPTACION DE TERMINOS Y VERACIDAD > 23.MAS INFORMACION,PRESENTACION | OBJETO | DIRIGIDA A | PROGRAMAS DE MAESTRIA Y MISIONES | ENFOQUE TERRITORIAL | ENFOQUE DIFERENCIAL E INTERSECCIONAL | REQUISITOS | CONDICIONES INHABILITANTES | DURACION Y FINANCIACION | CONTENIDO DEL PROYECTO DE INVESTIGACION | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
962,convocatoria_962_tdr.pdf,35,25,25,0.476,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.EXTENSIONISMO TECNOLOGICO > 5.LINEAS TEMATICAS > 6.ENFOQUE TERRITORIAL > 7.ENFOQUE DIFERENCIAL > 8.REQUISITOS > 9.CONDICIONES INHABILITANTES > 10.DURACION Y FINANCIACION > 11.CONTENIDOS DEL PROYECTO > 12.PROCEDIMIENTO DE INSCRIPCION > 13.AUTORIZACION USO DE DATOS PERSONALES > 14.CRITERIOS DE EVALUACION > 15.PROCEDIMIENTO DE EVALUACION > 16.BANCO DE ELEGIBLES > 17.ACLARACIONES > 18.CRONOGRAMA > 19.MODIFICACIONES > 20.PROPIEDAD INTELECTUAL > 21.CIENCIA ABIERTA > 22.VEEDURIAS CIUDADANAS > 23.ANEXOS > 24.ACEPTACION DE TERMINOS Y VERACIDAD > 25.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | EXTENSIONISMO TECNOLOGICO | LINEAS TEMATICAS | ENFOQUE TERRITORIAL | ENFOQUE DIFERENCIAL | REQUISITOS | CONDICIONES INHABILITANTES | DURACION Y FINANCIACION | CONTENIDOS DEL PROYECTO | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | CIENCIA ABIERTA | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
963,convocatoria_963_tdr.pdf,44,21,21,0.333,False,1.PRESENTACION > 2.OBJETIVOS > 3.DIRIGIDA A > 4.EJES Y LINEAS TEMATICAS > 5.REQUISITOS > 6.CONDICIONES INHABILITANTES > 7.DURACION Y FINANCIACION > 8.CONTENIDO DE LA PROPUESTA > 9.PROCEDIMIENTO DE INSCRIPCION > 10.AUTORIZACION DE DATOS PERSONALES > 11.CRITERIOS DE EVALUACION > 12.PROCEDIMIENTO DE EVALUACION > 13.BANCO DE ELEGIBLES > 14.ACLARACIONES > 15.CRONOGRAMA > 16.MODIFICACIONES > 17.PROPIEDAD INTELECTUAL > 18.VEEDURIAS CIUDADANAS > 19.ANEXOS > 20.ACEPTACION DE TERMINOS Y VERACIDAD > 21.MAS INFORMACION,PRESENTACION | OBJETIVOS | DIRIGIDA A | EJES Y LINEAS TEMATICAS | REQUISITOS | CONDICIONES INHABILITANTES | DURACION Y FINANCIACION | CONTENIDO DE LA PROPUESTA | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
964,convocatoria_964_tdr.pdf,40,23,22,0.429,False,1.PRESENTACION > 2.OBJETO > 3.DIRIGIDA A > 4.PROGRAMAS DE MAESTRIA Y MISIONES > 5.ENFOQUE TERRITORIAL > 6.ENFOQUE DIFERENCIAL E INTERSECCIONAL > 7.REQUISITOS > 8.CONDICIONES INHABILITANTES > 9.DURACION Y FINANCIACION > 10.CONTENIDO DE LA PROPUESTA DE INVESTIGACION > 11.PROCEDIMIENTO DE INSCRIPCION > 12.AUTORIZACION DE DATOS PERSONALES > 13.CRITERIOS DE EVALUACION > 14.PROCEDIMIENTO DE EVALUACION > 16.ACLARACIONES > 17.CRONOGRAMA > 18.MODIFICACIONES > 19.PROPIEDAD INTELECTUAL > 20.VEEDURIAS CIUDADANAS > 21.ANEXOS > 22.ACEPTACION DE TERMINOS Y VERACIDAD > 23.MAS INFORMACION,PRESENTACION | OBJETO | DIRIGIDA A | PROGRAMAS DE MAESTRIA Y MISIONES | ENFOQUE TERRITORIAL | ENFOQUE DIFERENCIAL E INTERSECCIONAL | REQUISITOS | CONDICIONES INHABILITANTES | DURACION Y FINANCIACION | CONTENIDO DE LA PROPUESTA DE INVESTIGACION | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
965,convocatoria_965_tdr.pdf,44,24,23,0.524,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.MODALIDAD DE PARTICIPACION > 5.LINEAS TEMATICAS > 6.ENFOQUE TERRITORIAL > 7.ENFOQUE DIFERENCIAL E INTERSECCIONAL > 8.REQUISITOS > 10.DURACION Y FINANCIACION > 11.CONTENIDO DE LA PROPUESTA > 12.PROCEDIMIENTO DE INSCRIPCION > 13.AUTORIZACION USO DE DATOS PERSONALES > 14.CRITERIOS DE EVALUACION > 15.PROCEDIMIENTO DE EVALUACION > 16.BANCO DE ELEGIBLES > 17.ACLARACIONES > 18.CRONOGRAMA > 19.MODIFICACIONES > 20.PROPIEDAD INTELECTUAL > 21.VEEDURIAS CIUDADANAS > 22.ANEXOS > 23.ACEPTACION DE TERMINOS Y VERACIDAD > 24.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | MODALIDAD DE PARTICIPACION | LINEAS TEMATICAS | ENFOQUE TERRITORIAL | ENFOQUE DIFERENCIAL E INTERSECCIONAL | REQUISITOS | DURACION Y FINANCIACION | CONTENIDO DE LA PROPUESTA | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
966,convocatoria_966_tdr.pdf,51,24,22,0.381,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 5.COMPONENTE DE APROPIACION SOCIAL DEL CONOCIMIENTO > 8.REQUISITOS > 9.CONDICIONES INHABILITANTES > 10.DURACION Y RECURSOS > 12.CONTENIDO DEL PROYECTO > 13.PROCEDIMIENTO DE INSCRIPCION > 14.AUTORIZACION USO DE DATOS PERSONALES > 15.CRITERIOS DE EVALUACION > 16.PROCEDIMIENTO DE EVALUACION > 17.BANCO DE ELEGIBLES > 18.ACLARACIONES > 19.CRONOGRAMA > 20.MODIFICACIONES > 21.PROPIEDAD INTELECTUAL > 22.CIENCIA ABIERTA > 23.VEEDURIAS CIUDADANAS > 24.ANEXOS > 25.ACEPTACION DE TERMINOS Y VERACIDAD > 26.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | COMPONENTE DE APROPIACION SOCIAL DEL CONOCIMIENTO | REQUISITOS | CONDICIONES INHABILITANTES | DURACION Y RECURSOS | CONTENIDO DEL PROYECTO | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | CIENCIA ABIERTA | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
967,convocatoria_967_tdr.pdf,39,21,20,0.476,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.LINEAS TEMATICAS > 6.REQUISITOS > 8.DURACION Y FINANCIACION > 9.CONTENIDO DE LA PROPUESTA > 10.PROCEDIMIENTO DE INSCRIPCION > 11.AUTORIZACION USO DE DATOS PERSONALES > 12.CRITERIOS DE EVALUACION > 13.PROCEDIMIENTO DE EVALUACION > 14.LISTADO DE ELEGIBLES > 15.ACLARACIONES > 16.CRONOGRAMA > 17.MODIFICACIONES > 18.PROPIEDAD INTELECTUAL > 19.VEEDURIAS CIUDADANAS > 20.ANEXOS > 21.ACEPTACION DE TERMINOS Y VERACIDAD > 22.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | LINEAS TEMATICAS | REQUISITOS | DURACION Y FINANCIACION | CONTENIDO DE LA PROPUESTA | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | LISTADO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
968,convocatoria_968_tdr.pdf,26,22,21,0.381,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.LINEAS TEMATICAS > 5.ENFOQUE TERRITORIAL > 6.ENFOQUE DIFERENCIAL > 7.REQUISITOS > 9.DURACION Y GASTOS ELEGIBLES RECOMENDADOS > 10.CONTENIDOS DEL PROYECTO > 11.PROCEDIMIENTO DE INSCRIPCION > 12.AUTORIZACION USO DE DATOS PERSONALES > 13.CRITERIOS DE EVALUACION > 14.BANCO DE PROYECTOS CALIFICADOS > 15.ACLARACIONES > 16.CRONOGRAMA > 17.MODIFICACIONES > 18.PROPIEDAD INTELECTUAL > 19.VEEDURIAS CIUDADANAS > 20.ANEXOS > 21.ACEPTACION DE TERMINOS Y VERACIDAD > 22.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | LINEAS TEMATICAS | ENFOQUE TERRITORIAL | ENFOQUE DIFERENCIAL | REQUISITOS | DURACION Y GASTOS ELEGIBLES RECOMENDADOS | CONTENIDOS DEL PROYECTO | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | BANCO DE PROYECTOS CALIFICADOS | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
969,convocatoria_969_tdr.pdf,44,23,21,0.476,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.LINEAS TEMATICAS > 5.ENFOQUE TERRITORIAL > 6.ENFOQUE DIFERENCIAL > 7.REQUISITOS > 9.DURACION Y FINANCIACION > 11.PROCEDIMIENTO DE INSCRIPCION > 12.AUTORIZACION USO DE DATOS PERSONALES > 13.CRITERIOS DE EVALUACION > 14.PROCEDIMIENTO DE EVALUACION > 15.BANCO DE ELEGIBLES > 16.ACLARACIONES > 17.CRONOGRAMA > 18.MODIFICACIONES > 19.PROPIEDAD INTELECTUAL > 20.POLITICA NACIONAL DE CIENCIA ABIERTA > 21.VEEDURIAS CIUDADANAS > 23.ACEPTACION DE TERMINOS Y VERACIDAD > 24.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | LINEAS TEMATICAS | ENFOQUE TERRITORIAL | ENFOQUE DIFERENCIAL | REQUISITOS | DURACION Y FINANCIACION | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | POLITICA NACIONAL DE CIENCIA ABIERTA | VEEDURIAS CIUDADANAS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
970,convocatoria_970_tdr.pdf,25,23,22,0.429,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.LINEAS TEMATICAS > 5.ENFOQUE TERRITORIAL > 6.ENFOQUE DIFERENCIAL > 7.REQUISITOS PARA UNA POSTULACION > 8.CONDICIONES INHABILITANTES DE LA POSTULACION > 10.CONTENIDOS DEL PROYECTO > 11.PROCEDIMIENTO DE INSCRIPCION > 12.AUTORIZACION USO DE DATOS PERSONALES > 13.CRITERIOS DE EVALUACION > 14.PROCEDIMIENTO DE EVALUACION > 15.LISTADO DE PROYECTOS CALIFICADOS Y ELEGIBLES > 16.ACLARACIONES > 17.CRONOGRAMA > 18.MODIFICACIONES > 19.PROPIEDAD INTELECTUAL > 20.VEEDURIAS CIUDADANAS > 21.ANEXOS > 22.ACEPTACION DE TERMINOS Y VERACIDAD > 23.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | LINEAS TEMATICAS | ENFOQUE TERRITORIAL | ENFOQUE DIFERENCIAL | REQUISITOS PARA UNA POSTULACION | CONDICIONES INHABILITANTES DE LA POSTULACION | CONTENIDOS DEL PROYECTO | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | LISTADO DE PROYECTOS CALIFICADOS Y ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
971,convocatoria_971_tdr.pdf,49,24,24,0.429,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.LINEAS Y EJES TEMATICOS > 5.ENFOQUE APROPIACION SOCIAL DEL CONOCIMIENTO > 6.ENFOQUE TERRITORIAL > 7.ENFOQUE DIFERENCIAL > 8.VINCULACION DE JOVENES INVESTIGADORES E INNOVADORES > 9.REQUISITOS > 11.DURACION Y FINANCIACION > 12.CONTENIDOS DEL PROYECTO > 13.PROCEDIMIENTO DE INSCRIPCION > 14.AUTORIZACION USO DE DATOS PERSONALES > 15.CRITERIOS DE EVALUACION > 16.PROCEDIMIENTO DE EVALUACION > 17.BANCO DE ELEGIBLES > 18.ACLARACIONES > 19.CRONOGRAMA > 20.MODIFICACIONES > 21.PROPIEDAD INTELECTUAL > 22.VEEDURIAS CIUDADANAS > 23.ANEXOS > 24.ACEPTACION DE TERMINOS Y VERACIDAD > 25.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | LINEAS Y EJES TEMATICOS | ENFOQUE APROPIACION SOCIAL DEL CONOCIMIENTO | ENFOQUE TERRITORIAL | ENFOQUE DIFERENCIAL | VINCULACION DE JOVENES INVESTIGADORES E INNOVADORES | REQUISITOS | DURACION Y FINANCIACION | CONTENIDOS DEL PROYECTO | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
972,convocatoria_972_tdr.pdf,59,24,24,0.524,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.LINEAS TEMATICAS > 5.ENFOQUE TERRITORIAL > 6.ENFOQUE DIFERENCIAL > 7.ORIENTACIONES GENERALES PARA LA VINCULACION DE TALENTO > 8.REQUISITOS > 10.DURACION Y FINANCIACION > 11.CONTENIDO DEL PROYECTO > 12.PROCEDIMIENTO DE INSCRIPCION > 13.AUTORIZACION USO DE DATOS PERSONALES > 14.CRITERIOS DE EVALUACION > 15.PROCEDIMIENTO DE EVALUACION > 16.BANCO DE ELEGIBLES > 17.ACLARACIONES > 18.CRONOGRAMA > 19.MODIFICACIONES > 20.PROPIEDAD INTELECTUAL > 21.POLITICA NACIONAL DE CIENCIA ABIERTA > 22.VEEDURIAS CIUDADANAS > 23.ANEXOS > 24.ACEPTACION DE TERMINOS Y VERACIDAD > 25.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | LINEAS TEMATICAS | ENFOQUE TERRITORIAL | ENFOQUE DIFERENCIAL | ORIENTACIONES GENERALES PARA LA VINCULACION DE TALENTO | REQUISITOS | DURACION Y FINANCIACION | CONTENIDO DEL PROYECTO | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | POLITICA NACIONAL DE CIENCIA ABIERTA | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
973,convocatoria_973_tdr.pdf,38,23,23,0.476,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.LINEAS TEMATICAS > 5.ENFOQUE DIFERENCIAL E INTERSECCIONAL > 6.REQUISITOS > 7.CONDICIONES INHABILITANTES > 8.PROGRAMAS DE MAESTRIA FINANCIABLES > 9.DURACION Y FINANCIACION > 10.CONTENIDO DE LA PROPUESTA > 11.PROCEDIMIENTO DE INSCRIPCION > 12.AUTORIZACION USO DE DATOS PERSONALES > 13.CRITERIOS DE EVALUACION > 14.PROCEDIMIENTO DE EVALUACION > 15.BANCO DE ELEGIBLES > 16.ACLARACIONES > 17.CRONOGRAMA > 18.MODIFICACIONES > 19.PROPIEDAD INTELECTUAL > 20.VEEDURIAS CIUDADANAS > 21.ANEXOS > 22.ACEPTACION DE TERMINOS Y VERACIDAD > 23.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | LINEAS TEMATICAS | ENFOQUE DIFERENCIAL E INTERSECCIONAL | REQUISITOS | CONDICIONES INHABILITANTES | PROGRAMAS DE MAESTRIA FINANCIABLES | DURACION Y FINANCIACION | CONTENIDO DE LA PROPUESTA | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
974,convocatoria_974_tdr.pdf,48,22,22,0.429,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.PROGRAMAS DE FORMACION DE ALTO NIVEL OFERTADOS > 5.LINEAS TEMATICAS > 6.ENFOQUE DIFERENCIAL > 7.REQUISITOS > 8.CONDICIONES DE RECHAZO > 9.DURACION Y FINANCIACION > 10.CONTENIDOS DE LA PROPUESTA > 11.PROCEDIMIENTO DE INSCRIPCION > 13.CRITERIOS DE EVALUACION > 14.PROCEDIMIENTO DE EVALUACION > 15.BANCO DE ELEGIBLES > 16.ACLARACIONES > 17.CRONOGRAMA > 18.MODIFICACIONES > 19.PROPIEDAD INTELECTUAL > 20.VEEDURIAS CIUDADANAS > 21.ANEXOS > 22.ACEPTACION DE TERMINOS Y VERACIDAD > 23.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | PROGRAMAS DE FORMACION DE ALTO NIVEL OFERTADOS | LINEAS TEMATICAS | ENFOQUE DIFERENCIAL | REQUISITOS | CONDICIONES DE RECHAZO | DURACION Y FINANCIACION | CONTENIDOS DE LA PROPUESTA | PROCEDIMIENTO DE INSCRIPCION | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
975,convocatoria_975_tdr.pdf,48,22,22,0.429,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.MODALIDADES DE PARTICIPACION > 5.LINEAS TEMATICAS > 6.ENFOQUE DIFERENCIAL > 7.REQUISITOS > 8.CONDICIONES DE RECHAZO > 9.DURACION Y FINANCIACION > 10.CONTENIDOS DE LA PROPUESTA > 11.PROCEDIMIENTO DE INSCRIPCION > 12.CRITERIOS DE EVALUACION > 13.PROCEDIMIENTO DE EVALUACION > 14.BANCO DE ELEGIBLES > 15.ACLARACIONES > 16.CRONOGRAMA > 17.MODIFICACIONES > 18.PROPIEDAD INTELECTUAL > 19.VEEDURIAS CIUDADANAS > 20.ANEXOS > 21.ACEPTACION DE TERMINOS Y VERACIDAD > 22.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | MODALIDADES DE PARTICIPACION | LINEAS TEMATICAS | ENFOQUE DIFERENCIAL | REQUISITOS | CONDICIONES DE RECHAZO | DURACION Y FINANCIACION | CONTENIDOS DE LA PROPUESTA | PROCEDIMIENTO DE INSCRIPCION | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
976,convocatoria_976_tdr.pdf,64,24,24,0.381,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.EJES Y LINEAS TEMATICAS > 5.COMPONENTE DE APROPIACION SOCIAL DEL CONOCIMIENTO > 8.REQUISITOS > 9.CONDICIONES DE RECHAZO > 10.DURACION Y RECURSOS > 11.ENFOQUE TERRITORIAL Y DIFERENCIAL > 12.CONTENIDO DEL PROYECTO > 13.PROCEDIMIENTO DE INSCRIPCION > 14.AUTORIZACION USO DE DATOS PERSONALES > 15.CRITERIOS DE EVALUACION > 16.PROCEDIMIENTO DE EVALUACION > 17.BANCO DE ELEGIBLES > 18.ACLARACIONES > 19.CRONOGRAMA > 20.MODIFICACIONES > 21.PROPIEDAD INTELECTUAL > 22.CIENCIA ABIERTA > 23.VEEDURIAS CIUDADANAS > 24.ANEXOS > 25.ACEPTACION DE TERMINOS Y VERACIDAD > 26.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | EJES Y LINEAS TEMATICAS | COMPONENTE DE APROPIACION SOCIAL DEL CONOCIMIENTO | REQUISITOS | CONDICIONES DE RECHAZO | DURACION Y RECURSOS | ENFOQUE TERRITORIAL Y DIFERENCIAL | CONTENIDO DEL PROYECTO | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | CIENCIA ABIERTA | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
977,convocatoria_977_tdr.pdf,26,17,16,0.333,False,1.PRESENTACION > 2.OBJETIVO > 3.DIRIGIDA A > 4.REQUISITOS > 5.CONDICIONES INHABILITANTES > 7.PROCEDIMIENTO DE INSCRIPCION > 8.AUTORIZACION USO DE DATOS PERSONALES > 9.CRITERIOS DE EVALUACION > 10.PROCEDIMIENTO DE EVALUACION > 11.ACLARACIONES > 12.CRONOGRAMA > 13.MODIFICACIONES > 14.VEEDURIAS CIUDADANAS > 15.ANEXOS > 16.ACEPTACION DE TERMINOS Y VERACIDAD > 17.MAS INFORMACION,PRESENTACION | OBJETIVO | DIRIGIDA A | REQUISITOS | CONDICIONES INHABILITANTES | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
978,convocatoria_978_tdr.pdf,63,23,23,0.429,False,1.PRESENTACION > 2.OBJETIVO > 4.LINEAS TEMATICAS > 5.ENFOQUE TERRITORIAL > 6.ENFOQUE DE DIVERSIDAD E INTERSECCIONALIDAD > 7.VINCULACION DE JOVENES INVESTIGADORES E INNOVADORES > 8.REQUISITOS > 9.CONDICIONES DE RECHAZO > 10.DURACION Y FINANCIACION > 11.CONTENIDOS DEL PROYECTO > 12.PROCEDIMIENTO DE INSCRIPCION > 13.AUTORIZACION USO DE DATOS PERSONALES > 14.CRITERIOS DE EVALUACION > 15.PROCEDIMIENTO DE EVALUACION > 16.BANCO DE ELEGIBLES > 17.ACLARACIONES > 18.CRONOGRAMA > 19.MODIFICACIONES > 20.PROPIEDAD INTELECTUAL > 21.VEEDURIAS CIUDADANAS > 22.ANEXOS > 23.ACEPTACION DE TERMINOS Y VERACIDAD > 24.MAS INFORMACION,PRESENTACION | OBJETIVO | LINEAS TEMATICAS | ENFOQUE TERRITORIAL | ENFOQUE DE DIVERSIDAD E INTERSECCIONALIDAD | VINCULACION DE JOVENES INVESTIGADORES E INNOVADORES | REQUISITOS | CONDICIONES DE RECHAZO | DURACION Y FINANCIACION | CONTENIDOS DEL PROYECTO | PROCEDIMIENTO DE INSCRIPCION | AUTORIZACION USO DE DATOS PERSONALES | CRITERIOS DE EVALUACION | PROCEDIMIENTO DE EVALUACION | BANCO DE ELEGIBLES | ACLARACIONES | CRONOGRAMA | MODIFICACIONES | PROPIEDAD INTELECTUAL | VEEDURIAS CIUDADANAS | ANEXOS | ACEPTACION DE TERMINOS Y VERACIDAD | MAS INFORMACION
