id,nombre,facultad,cargo,tiene_cvlac,categoria,n_areas,score_final,score_emb,score_tfidf,boost,query_chars,doc_chars,rank
diana-rocio-bernal-camargo,Diana-Rocío Bernal-Camargo,Facultad de Jurisprudencia,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.5004156791990139,0.5952461957931519,0.07914453788768501,0.05999999865889549,2257,2097,1
juan-miguel-gallego-acevedo,Juan M. Gallego,Vicerrectoría de Investigación,Director Investigación y Extensión,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.49163688030427405,0.5861440896987915,0.07112010259051156,0.05999999865889549,2257,1630,2
julian-david-cortes-sanchez,Julián David Cortés-Sánchez,Escuela de Administración,Director de Investigación,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.48990024749934286,0.5864116549491882,0.1313736330966025,0.03999999910593033,2257,2646,3
clara-ines-pardo-martinez,Clara Inés Pardo Martínez / orcid.org/0000-0002-8556-319X,Escuela de Administración,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.4851954743425608,0.5785794258117676,0.06729957218321168,0.05999999865889549,2257,2548,4
luis-antonio-orozco-castro,luis-antonio-orozco-castro,Escuela de Administración,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.4822851277643032,0.5540299415588379,0.11488056671407071,0.05999999865889549,2257,2358,5
manuel-alberto-restrepo-medina,Manuel-Alberto Restrepo-Medina,Facultad de Jurisprudencia,Director Doctorado en Derecho,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.4725197323088009,0.5706868767738342,0.07679637287198128,0.05000000074505806,2257,2247,6
andres-felipe-garcia-suaza,andres-felipe-garcia-suaza,Facultad de Economía,Decano,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.4715856473795765,0.5494318604469299,0.12327779453734337,0.05000000074505806,2257,2481,7
paola-marcela-iregui-parra,Paola-Marcela Iregui-Parra,Facultad de Jurisprudencia,Profesor principal de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.46683182806450396,0.5511232614517212,0.103485207282115,0.05000000074505806,2257,2059,8
silvia-alejandra-otero-bahamon,Silvia Otero-Bahamon,"Escuela de Estudios Sociales, Políticos e Internacionales",Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.46416058576039027,0.5526830554008484,0.05760818093788466,0.05999999865889549,2257,2462,9
edwin-alexander-rodriguez-lopez,edwin-alexander-rodriguez-lopez,Escuela de Medicina y Ciencias de la Salud,Profesor principal de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.4614278724866703,0.5675317645072937,0.04718547515657026,0.05000000074505806,2257,2297,10
luis-hernando-gutierrez-ramirez,Luis H. Gutierrez,Facultad de Economía,Profesor adjunto,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.4592842286665795,0.556277871131897,0.06629912003528991,0.05000000074505806,2257,1556,11
stefan-pohl-valero,Stefan Pohl-Valero,Escuela de Medicina y Ciencias de la Salud,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,1,0.45921800368607435,0.519227921962738,0.11919492511551898,0.05999999865889549,2257,2523,12
martha-rocio-torres-narvaez,Martha-Rocio Torres-Narvaez,Escuela de Medicina y Ciencias de la Salud,Profesor principal de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.4582028268126914,0.5333717465400696,0.1161420315001638,0.05000000074505806,2257,2364,13
amparo-susana-mogollon-perez,Amparo-Susana Mogollón-Pérez,Escuela de Medicina y Ciencias de la Salud,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,6,0.4572960560711065,0.5333524346351624,0.07983123682996934,0.05999999865889549,2257,2406,14
angela-del-pilar-santamaria-chavarro,Angela-del-Pilar Santamaria-Chavarro,Vicerrectoría Académica,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.4553396020633359,0.5324634909629822,0.07538386576784295,0.05999999865889549,2257,1890,15
