id,nombre,facultad,cargo,tiene_cvlac,categoria,n_areas,score_final,score_emb,score_tfidf,boost,query_chars,doc_chars,rank,score_raw
clara-ines-pardo-martinez,Clara Inés Pardo Martínez / orcid.org/0000-0002-8556-319X,Escuela de Administración,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.75524586,0.459755539894104,0.0296909340062819,0.36000000000000004,811,2548,1,0.39524585
juan-miguel-gallego-acevedo,Juan M. Gallego,Vicerrectoría de Investigación,Director Investigación y Extensión,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.74095,0.4734904170036316,0.0565542169806002,0.33,811,1630,2,0.41094998
silvia-alejandra-otero-bahamon,Silvia Otero-Bahamon,"Escuela de Estudios Sociales, Políticos e Internacionales",Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.7401938,0.4406211078166961,0.0377722670222633,0.36000000000000004,811,2462,3,0.38019377
luis-antonio-orozco-castro,luis-antonio-orozco-castro,Escuela de Administración,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.7333114,0.4319480061531067,0.0410374181966857,0.36000000000000004,811,2358,4,0.37331143
pedro-mario-wightman-rojas,pedro-mario-wightman-rojas,Escuela de Ciencias e Ingeniería,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,8,0.73187435,0.4270727336406708,0.0590835599067257,0.36000000000000004,811,3184,5,0.37187436
andres-gomez-rey,Andrés Gómez-Rey,Facultad de Jurisprudencia,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,7,0.726324,0.422496885061264,0.0480110503556105,0.36000000000000004,811,1687,6,0.366324
diana-rocio-bernal-camargo,Diana-Rocío Bernal-Camargo,Facultad de Jurisprudencia,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.72298795,0.4518670439720154,0.0593397632739477,0.33,811,2097,7,0.39298797
oscar-javier-robayo-pinzon,oscar-javier-robayo-pinzon,Escuela de Administración,Director programa Marketing y Negocios Digitales,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.72002614,0.4118128418922424,0.0665680483015436,0.36000000000000004,811,2305,8,0.36002612
manuel-alberto-restrepo-medina,Manuel-Alberto Restrepo-Medina,Facultad de Jurisprudencia,Director Doctorado en Derecho,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.7154542,0.4457432627677917,0.0438164188101041,0.33,811,2247,9,0.38545424
javier-leonardo-gonzalez-rodriguez,Javier-Leonardo Gonzalez-Rodriguez / orcid.org/0000-0001-6693-3901,Escuela de Administración,Profesor adjunto,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,2,0.71216774,0.4373888373374939,0.0692482458730168,0.33,811,1791,10,0.38216776
hugo-alberto-rivera-rodriguez,Hugo-Alberto Rivera-Rodriguez / orcid.org/0000-0002-9758-4908,Escuela de Administración,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.711722,0.4336225390434265,0.0876190043543288,0.33,811,2206,11,0.381722
julian-david-cortes-sanchez,Julián David Cortés-Sánchez,Escuela de Administración,Director de Investigación,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.69737613,0.471373975276947,0.0447216089868213,0.29,811,2646,12,0.4073761
andres-felipe-garcia-suaza,andres-felipe-garcia-suaza,Facultad de Economía,Decano,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.6925864,0.4500334858894348,0.0670529065562808,0.3,811,2481,13,0.3925864
angela-lucia-noguera-hidalgo,Angela-Lucía Noguera-Hidalgo,"Escuela de Estudios Sociales, Políticos e Internacionales",Profesor principal de carrera,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,2,0.66120416,0.4649701118469238,0.0398639222686884,0.26,811,2410,14,0.40120417
hector-andres-garcia-botero,Héctor García Botero,"Escuela de Estudios Sociales, Políticos e Internacionales",Profesor asistente de carrera,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.6594531,0.4586502909660339,0.064002233271503,0.26,811,2159,15,0.39945307
