id,nombre,facultad,cargo,tiene_cvlac,categoria,n_areas,score_final,score_emb,score_tfidf,boost,query_chars,doc_chars,rank,score_raw
mauricio-becerra-fernandez,Mauricio Becerra-Fernandez,Escuela de Ciencias e Ingeniería,Profesor principal de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,6,0.6323146,0.3191654086112976,0.006826955726777,0.36000000000000004,39,2656,1,0.27231464
hector-olasolo-alonso,Hector Olasolo,Facultad de Jurisprudencia,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.63044417,0.3167662024497986,0.007952730306229,0.36000000000000004,39,2272,2,0.27044418
sandra-rocio-ramirez-clavijo,Sandra Ramírez-Clavijo,Escuela de Ciencias e Ingeniería,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.6289378,0.3146902024745941,0.0096741061288493,0.36000000000000004,39,1677,3,0.2689378
andre-josafat-riveros-rivera,Andre J. Riveros,Escuela de Ciencias e Ingeniería,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.62831104,0.3142763972282409,0.0078408711850445,0.36000000000000004,39,2528,4,0.26831105
luis-antonio-orozco-castro,luis-antonio-orozco-castro,Escuela de Administración,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.6265494,0.312206357717514,0.0078267364618053,0.36000000000000004,39,2358,5,0.2665494
leonardo-briceno-ayala,Leonardo Briceno-Ayala,Escuela de Medicina y Ciencias de la Salud,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.62648946,0.3119958639144897,0.0086199808516332,0.36000000000000004,39,2462,6,0.26648948
mauricio-orlando-nava-mesa,Mauricio O. Nava-Mesa,Escuela de Medicina y Ciencias de la Salud,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.62596786,0.3117154240608215,0.0067316311479263,0.36000000000000004,39,2347,7,0.26596785
alvaro-david-orjuela-canon,ALVARO DAVID ORJUELA-CAÑÓN,Escuela de Medicina y Ciencias de la Salud,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.62507427,0.3459726572036743,0.0066502091028548,0.33,39,2646,8,0.29507428
claudia-talero-gutierrez,Claudia Talero-Gutierrez / orcid.org/0000-0003-1601-5015,Escuela de Medicina y Ciencias de la Salud,Profesor adjunto,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.60619503,0.370696097612381,0.0073557276691339,0.29,39,2617,9,0.31619504
juan-alberto-castillo-martinez,Juan A Castillo-Martínez,Escuela de Medicina y Ciencias de la Salud,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,2,0.6022667,0.3190481066703796,0.0071721130333126,0.33,39,2996,10,0.27226672
angela-del-pilar-santamaria-chavarro,Angela-del-Pilar Santamaria-Chavarro,Vicerrectoría Académica,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.59747654,0.3131402134895324,0.0087158661673233,0.33,39,1890,11,0.26747656
rocio-del-pilar-pena-huertas,Rocio Del Pilar Peña-Huertas,Facultad de Jurisprudencia,Profesor auxiliar de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.5973872,0.3132553100585937,0.0074678303156917,0.33,39,2182,12,0.26738718
diana-rocio-bernal-camargo,Diana-Rocío Bernal-Camargo,Facultad de Jurisprudencia,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.59675294,0.3122904002666473,0.0087072723737145,0.33,39,2097,13,0.26675293
mario-fernando-jimenez-hernandez,mario-fernando-jimenez-hernandez,Escuela de Ciencias e Ingeniería,Profesor principal de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.58381766,0.3323903977870941,0.008572367145569,0.3,39,2132,14,0.28381768
luisa-fernanda-garcia-lopez,Luisa Fernanda García-López,Facultad de Jurisprudencia,Profesor principal de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.57857275,0.3261286616325378,0.0090892803663509,0.3,39,1940,15,0.27857277
