id,nombre,facultad,cargo,tiene_cvlac,categoria,n_areas,score_final,score_emb,score_tfidf,boost,query_chars,doc_chars,rank,score_raw
juan-manuel-roberto-posada-hostettler,Juan M. Posada,Escuela de Ciencias e Ingeniería,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.89440244,0.6083943247795105,0.1151150789360799,0.36000000000000004,3173,2803,1,0.53440243
luis-antonio-orozco-castro,luis-antonio-orozco-castro,Escuela de Administración,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.8823296,0.5924023389816284,0.1252503741763544,0.36000000000000004,3173,2358,2,0.52232957
julian-david-cortes-sanchez,Julián David Cortés-Sánchez,Escuela de Administración,Director de Investigación,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.8706134,0.6538264751434326,0.1657392480728143,0.29,3173,2646,3,0.5806134
lizeth-fernanda-serrano-cardenas,lizeth-fernanda-serrano-cardenas,Escuela de Administración,Profesor principal de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.8678397,0.6140232086181641,0.1061330864988599,0.33,3173,2352,4,0.5378397
pedro-mario-wightman-rojas,pedro-mario-wightman-rojas,Escuela de Ciencias e Ingeniería,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,8,0.85976505,0.5699390172958374,0.1021127011529599,0.36000000000000004,3173,3184,5,0.49976507
juan-miguel-gallego-acevedo,Juan M. Gallego,Vicerrectoría de Investigación,Director Investigación y Extensión,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.8588374,0.6085559129714966,0.0770992764279074,0.33,3173,1630,6,0.52883744
diana-rocio-bernal-camargo,Diana-Rocío Bernal-Camargo,Facultad de Jurisprudencia,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.8535477,0.602515459060669,0.0760636652889987,0.33,3173,2097,7,0.5235477
angela-del-pilar-santamaria-chavarro,Angela-del-Pilar Santamaria-Chavarro,Vicerrectoría Académica,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.8470279,0.5932986736297607,0.0848269005817829,0.33,3173,1890,8,0.5170279
merlin-patricia-grueso-hinestroza,Merlin-Patricia Grueso-Hinestroza,Escuela de Administración,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.8352446,0.5785039663314819,0.0901084281331804,0.33,3173,1613,9,0.5052446
daniel-orlando-diaz-lopez,daniel-orlando-diaz-lopez,Escuela de Ciencias e Ingeniería,Profesor principal de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.8270626,0.6072094440460205,0.0728971972803281,0.3,3173,1777,10,0.5270626
angela-victoria-vera-marquez,Ángela Victoria Vera-Márquez,Escuela de Medicina y Ciencias de la Salud,Directora programa de Psicología,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.82520825,0.6088851690292358,0.1177056951471459,0.29,3173,2256,11,0.5352082
stefan-pohl-valero,Stefan Pohl-Valero,Escuela de Medicina y Ciencias de la Salud,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,1,0.8101598,0.563961386680603,0.1386176691348007,0.31000000000000005,3173,2523,12,0.5001598
oscar-javier-maldonado-castaneda,Oscar Javier Maldonado Castaneda,"Escuela de Estudios Sociales, Políticos e Internacionales",Profesor asociado de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.80729747,0.5666868686676025,0.1707574165765689,0.3,3173,2165,13,0.50729746
angela-lucia-noguera-hidalgo,Angela-Lucía Noguera-Hidalgo,"Escuela de Estudios Sociales, Políticos e Internacionales",Profesor principal de carrera,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,2,0.78989565,0.6080437898635864,0.087056412606148,0.26,3173,2410,14,0.52989566
karim-del-rocio-garzon-diaz,Karim Garzón-Díaz,Escuela de Medicina y Ciencias de la Salud,Profesor asociado de carrera,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,2,0.78870547,0.6034857034683228,0.1049507956804706,0.26,3173,2316,15,0.5287055
