id,nombre,facultad,cargo,tiene_cvlac,categoria,n_areas,score_final,score_emb,score_tfidf,boost,query_chars,doc_chars,rank
eugenio-ferro-rodriguez,eugenio-ferro-rodriguez,Escuela de Medicina y Ciencias de la Salud,Docente clínico y de prácticas,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,6,0.45390168074424847,0.51960289478302,0.10059885245746324,0.05999999865889549,2633,2703,1
angela-maria-ruiz-sternberg,Angela María Ruiz-Sternberg / orcid.org/0000-0002-4651-4635,Escuela de Medicina y Ciencias de la Salud,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.4418791370681642,0.5121355056762695,0.07794763465448172,0.05999999865889549,2633,2599,2
amparo-susana-mogollon-perez,Amparo-Susana Mogollón-Pérez,Escuela de Medicina y Ciencias de la Salud,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,6,0.43971368201827965,0.5088561177253723,0.07838139611005665,0.05999999865889549,2633,2406,3
angela-maria-pinzon-rondon,Angela Maria Pinzon-Rondon,Escuela de Medicina y Ciencias de la Salud,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.43877142783328554,0.5294256806373596,0.027244902032105816,0.05999999865889549,2633,2173,4
javier-leonardo-gonzalez-rodriguez,Javier-Leonardo Gonzalez-Rodriguez / orcid.org/0000-0001-6693-3901,Escuela de Administración,Profesor adjunto,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,2,0.4352748701190751,0.5085116624832153,0.06438902573976298,0.05999999865889549,2633,1791,5
angela-victoria-vera-marquez,Ángela Victoria Vera-Márquez,Escuela de Medicina y Ciencias de la Salud,Directora programa de Psicología,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.4284158343417873,0.5282779932022095,0.06207085958567938,0.03999999910593033,2633,2256,6
lina-karina-bernal-ordonez,Lina-Karina Bernal-Ordoñez,Escuela de Medicina y Ciencias de la Salud,Profesor principal de carrera,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.4172886162458124,0.5052454471588135,0.07872266056082723,0.03999999910593033,2633,2410,7
leonardo-briceno-ayala,Leonardo Briceno-Ayala,Escuela de Medicina y Ciencias de la Salud,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.41645751949712784,0.48648330569267273,0.053063993042215686,0.05999999865889549,2633,2462,8
alberto-francisco-velez-van-meerbeke,"Alberto, Velez- van-Meerbeke",Escuela de Medicina y Ciencias de la Salud,Profesor adjunto,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.4130356208918703,0.47039005160331726,0.07920859056651994,0.05999999865889549,2633,2629,9
marcela-eugenia-varona-uribe,Marcela Varona-Uribe,Escuela de Medicina y Ciencias de la Salud,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.4115373921697566,0.4779942035675049,0.05647148351047744,0.05999999865889549,2633,2456,10
emilio-quevedo-velez,Emilio Quevedo V.,Escuela de Medicina y Ciencias de la Salud,Profesor adjunto,True,Investigador Emérito (IE) con vigencia vitalicia,2,0.4114110277050034,0.4697442054748535,0.04196694524860893,0.07000000029802322,2633,3089,11
karen-aguia-rojas,Karen Aguia / orcid.org/0000-0002-5726-9575,Escuela de Medicina y Ciencias de la Salud,Directora programa de Terapia Ocupacional,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.4113545206803533,0.49841049313545227,0.07489055812969886,0.03999999910593033,2633,1808,12
diana-rocio-bernal-camargo,Diana-Rocío Bernal-Camargo,Facultad de Jurisprudencia,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.41087061360854177,0.462708055973053,0.0899166057632455,0.05999999865889549,2633,2097,13
yenny-marcela-barreto-zorza,Yenny Marcela Barreto Zorza,Escuela de Medicina y Ciencias de la Salud,Profesor auxiliar de carrera,True,,1,0.4105654310957766,0.5204446315765381,0.08751394492923423,0.019999999552965164,2633,1991,14
john-alexander-vergel-guerrero,John Vergel,Escuela de Medicina y Ciencias de la Salud,Director programa Medicina,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,1,0.41046492504084536,0.49326878786087036,0.05058922277571198,0.05000000074505806,2633,2513,15
