id,nombre,facultad,cargo,tiene_cvlac,categoria,n_areas,score_final,score_emb,score_tfidf,boost,query_chars,doc_chars,rank
juan-miguel-gallego-acevedo,Juan M. Gallego,Vicerrectoría de Investigación,Director Investigación y Extensión,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.4803039935109002,0.5745290517807007,0.060445548553262264,0.05999999865889549,2303,1630,1
julian-david-cortes-sanchez,Julián David Cortés-Sánchez,Escuela de Administración,Director de Investigación,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.4527341001471589,0.5571516752243042,0.07575982088536369,0.03999999910593033,2303,2646,2
jonnier-sebastian-jaramillo-isaza,Sebastian Jaramillo-Isaza,Escuela de Medicina y Ciencias de la Salud,Director programa de Ingeniería Biomédica,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.4492889946216725,0.553457498550415,0.039562522707509595,0.05000000074505806,2303,2653,3
clara-ines-pardo-martinez,Clara Inés Pardo Martínez / orcid.org/0000-0002-8556-319X,Escuela de Administración,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.44696280267566846,0.5302188992500305,0.0526985619376238,0.05999999865889549,2303,2548,4
diana-rocio-bernal-camargo,Diana-Rocío Bernal-Camargo,Facultad de Jurisprudencia,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.4398795640611216,0.5242623090744019,0.04298647696560121,0.05999999865889549,2303,2097,5
karim-del-rocio-garzon-diaz,Karim Garzón-Díaz,Escuela de Medicina y Ciencias de la Salud,Profesor asociado de carrera,True,Investigador Junior (IJ) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,2,0.43820849058334116,0.5314455032348633,0.08732217044645163,0.03999999910593033,2303,2316,6
alejandro-oyono-ondo-mendez,Alejandro Ondo-Méndez,Escuela de Medicina y Ciencias de la Salud,Vicedecano de Investigación y Consultoría,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.43665734502807846,0.5169886350631714,0.049217672749876616,0.05999999865889549,2303,2576,7
stefan-pohl-valero,Stefan Pohl-Valero,Escuela de Medicina y Ciencias de la Salud,Profesor asociado de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,1,0.4365030190936164,0.5109034776687622,0.06290197342350608,0.05999999865889549,2303,2523,8
lizeth-fernanda-serrano-cardenas,lizeth-fernanda-serrano-cardenas,Escuela de Administración,Profesor principal de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,5,0.4332049342632689,0.5251866579055786,0.05191424328101933,0.05000000074505806,2303,2352,9
andres-felipe-garcia-suaza,andres-felipe-garcia-suaza,Facultad de Economía,Decano,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.43272076345931876,0.49943143129348755,0.11039592896737616,0.05000000074505806,2303,2481,10
oscar-javier-maldonado-castaneda,Oscar Javier Maldonado Castaneda,"Escuela de Estudios Sociales, Políticos e Internacionales",Profesor asociado de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.43182257692069087,0.5114277005195618,0.0794106392413468,0.05000000074505806,2303,2165,11
daniel-orlando-diaz-lopez,daniel-orlando-diaz-lopez,Escuela de Ciencias e Ingeniería,Profesor principal de carrera,True,Investigador Asociado (I) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,4,0.43085367570277533,0.5228099822998047,0.04962233089594312,0.05000000074505806,2303,1777,12
javier-leonardo-gonzalez-rodriguez,Javier-Leonardo Gonzalez-Rodriguez / orcid.org/0000-0001-6693-3901,Escuela de Administración,Profesor adjunto,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,2,0.4279679069871048,0.5061324238777161,0.04558405858090844,0.05999999865889549,2303,1791,13
amparo-susana-mogollon-perez,Amparo-Susana Mogollón-Pérez,Escuela de Medicina y Ciencias de la Salud,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,6,0.4278730138833162,0.5045560598373413,0.04894595086403588,0.05999999865889549,2303,2406,14
francoise-venezia-contreras-torres,Francoise Contreras,Escuela de Administración,Profesor titular de carrera,True,Investigador Senior (IS) con vigencia hasta la publicación de los resultados de la siguiente convocatoria,3,0.4277693993454583,0.4956400394439697,0.06940457691928002,0.05999999865889549,2303,2284,15
